中轴承温度,A相线温度,电机前轴承温度,垂直振动,水平振动,出口烟气温度,timestamp
59.871704,55.315823,61.383026,0.2991454,0.26251513,136.67538,2023-05-26 17:57:00
59.84565,55.315823,61.383026,0.31135547,0.27472523,136.64978,2023-05-26 17:57:00
59.84565,55.315823,61.383026,0.31135547,0.26251513,136.62418,2023-05-26 17:58:00
59.84565,55.315823,61.383026,0.2991454,0.26251513,136.52339,2023-05-26 17:58:00
59.84565,55.289803,61.383026,0.2991454,0.26251513,136.59857,2023-05-26 17:58:00
59.84565,55.289803,61.383026,0.2991454,0.27472523,136.52339,2023-05-26 17:58:00
59.84565,55.289803,61.383026,0.3113554700000001,0.27472523,136.57297,2023-05-26 17:58:00
59.84565,55.289803,61.383026,0.2869353,0.26251513,136.64815,2023-05-26 17:58:00
59.84565,55.263783,61.383026,0.2991454,0.27472523,136.57297,2023-05-26 17:59:00
59.84565,55.263783,61.383026,0.2991454,0.2869353,136.57297,2023-05-26 17:59:00
59.84565,55.263783,61.383026,0.2991454,0.27472523,136.57297,2023-05-26 17:59:00
59.84565,55.263783,61.383026,0.2991454,0.27472523,136.54735,2023-05-26 17:59:00
59.84565,55.23778,61.383026,0.2991454,0.27472523,136.54735,2023-05-26 17:59:00
59.84565,55.23778,61.383026,0.2991454,0.29304038,136.54735,2023-05-26 17:59:00
59.84565,55.23778,61.383026,0.2991454,0.27472523,136.52177,2023-05-26 18:00:00
59.84565,55.21176,61.383026,0.2991454,0.2869353,136.47055,2023-05-26 18:00:00
59.84565,55.21176,61.383026,0.2991454,0.27472523,136.52016,2023-05-26 18:00:00
59.84565,55.21176,61.383026,0.31135547,0.27472523,136.41937,2023-05-26 18:00:00
59.84565,55.18574,61.383026,0.2991454,0.2869353,136.36818,2023-05-26 18:00:00
59.84565,55.18574,61.383026,0.2991454,0.2869353,136.34259,2023-05-26 18:00:00
59.84565,55.18574,61.383026,0.2991454,0.29304038,136.317,2023-05-26 18:01:00
59.84565,55.15972,61.383026,0.2991454,0.2869353,136.26582,2023-05-26 18:01:00
59.84565,55.15972,61.383026,0.31135547,0.2869353,136.16507,2023-05-26 18:01:00
59.84565,55.13372,61.383026,0.31746055,0.27472523,136.21465,2023-05-26 18:01:00
59.84565,55.13372,61.383026,0.2991454,0.2869353,136.18906,2023-05-26 18:01:00
59.84565,55.13372,61.383026,0.31746055,0.27472523,136.18906,2023-05-26 18:01:00
59.84565,55.13372,61.383026,0.31135547,0.27472523,136.31381,2023-05-26 18:02:00
59.84565,55.13372,61.383026,0.31746055,0.2869353,136.16348,2023-05-26 18:02:00
59.84565,55.13372,61.383026,0.31746055,0.27472523,136.16348,2023-05-26 18:02:00
59.84565,55.08168,61.383026,0.31135547,0.2869353,136.18906,2023-05-26 18:02:00
59.84565,55.08168,61.383026,0.2991454,0.2869353,136.18906,2023-05-26 18:02:00
59.84565,55.05566,61.383026,0.2991454,0.27472523,136.08833,2023-05-26 18:02:00
59.84565,55.05566,61.383026,0.2991454,0.2869353,136.08833,2023-05-26 18:03:00
59.84565,55.029663,61.383026,0.2991454,0.27472523,136.18906,2023-05-26 18:03:00
59.84565,55.029663,61.383026,0.31135547,0.27472523,136.11389,2023-05-26 18:03:00
59.84565,55.029663,61.383026,0.31746055,0.2869353,136.16348,2023-05-26 18:03:00
59.84565,55.003643,61.383026,0.31135547,0.2869353,136.11389,2023-05-26 18:03:00
59.84565,55.003643,61.383026,0.31746055,0.2869353,136.11389,2023-05-26 18:03:00
59.81959,54.977623,61.383026,0.2991454,0.2869353,136.11389,2023-05-26 18:04:00
59.84565,54.977623,61.383026,0.31746055,0.2869353,136.08833,2023-05-26 18:04:00
59.81959,54.977623,61.383026,0.31746055,0.29304038,136.01317,2023-05-26 18:04:00
59.81959,54.951626,61.383026,0.31135547,0.2869353,136.08833,2023-05-26 18:04:00
59.81959,54.951626,61.383026,0.31135547,0.29304038,136.11389,2023-05-26 18:04:00
59.81959,54.925606,61.383026,0.31746055,0.2869353,136.13948,2023-05-26 18:04:00
59.81959,54.925606,61.409096,0.2991454,0.29304038,136.13948,2023-05-26 18:05:00
59.84565,54.925606,61.383026,0.31746055,0.27472523,136.19066,2023-05-26 18:05:00
59.81959,54.89959,61.383026,0.31746055,0.27472523,136.16667,2023-05-26 18:05:00
59.84565,54.89959,61.383026,0.31135547,0.2869353,136.26743,2023-05-26 18:05:00
59.84565,54.89959,61.383026,0.2991454,0.2869353,136.24344,2023-05-26 18:05:00
59.81959,54.87357,61.383026,0.2991454,0.27472523,136.29463,2023-05-26 18:05:00
59.84565,54.87357,61.383026,0.2991454,0.27472523,136.3202,2023-05-26 18:06:00
59.84565,54.87357,61.383026,0.31135547,0.27472523,136.34581,2023-05-26 18:06:00
59.84565,54.847572,61.383026,0.31135547,0.2869353,136.37141,2023-05-26 18:06:00
59.84565,54.847572,61.383026,0.31135547,0.2869353,136.397,2023-05-26 18:06:00
59.84565,54.847572,61.383026,0.31135547,0.2869353,136.44821,2023-05-26 18:06:00
59.84565,54.821556,61.383026,0.2991454,0.27472523,136.39864,2023-05-26 18:06:00
59.84565,54.821556,61.383026,0.31135547,0.27472523,136.42422,2023-05-26 18:07:00
59.84565,54.821556,61.383026,0.2991454,0.27472523,136.47382,2023-05-26 18:07:00
59.84565,54.821556,61.383026,0.2869353,0.2869353,136.37303,2023-05-26 18:07:00
59.84565,54.821556,61.383026,0.2991454,0.27472523,136.44821,2023-05-26 18:07:00
59.84565,54.79554,61.383026,0.2869353,0.27472523,136.44821,2023-05-26 18:07:00
59.84565,54.79554,61.383026,0.2991454,0.2869353,136.4226,2023-05-26 18:07:00
59.84565,54.79554,61.383026,0.2991454,0.27472523,136.47218,2023-05-26 18:08:00
59.84565,54.79554,61.383026,0.2869353,0.2869353,136.397,2023-05-26 18:08:00
59.84565,54.79554,61.383026,0.31135547,0.27472523,136.47218,2023-05-26 18:08:00
59.84565,54.79554,61.383026,0.2869353,0.2869353,136.47218,2023-05-26 18:08:00
59.84565,54.79554,61.383026,0.2991454,0.27472523,136.47218,2023-05-26 18:08:00
59.84565,54.79554,61.383026,0.2991454,0.29304038,136.47218,2023-05-26 18:08:00
59.84565,54.79554,61.383026,0.2991454,0.2869353,136.54735,2023-05-26 18:09:00
59.84565,54.79554,61.383026,0.2991454,0.2869353,136.47218,2023-05-26 18:09:00
59.84565,54.821556,61.383026,0.2991454,0.26251513,136.54735,2023-05-26 18:09:00
59.84565,54.821556,61.383026,0.2991454,0.2869353,136.47218,2023-05-26 18:09:00
59.84565,54.821556,61.383026,0.2991454,0.27472523,136.54735,2023-05-26 18:09:00
59.84565,54.821556,61.383026,0.2991454,0.27472523,136.54735,2023-05-26 18:09:00
59.84565,54.821556,61.383026,0.2869353,0.27472523,136.49617,2023-05-26 18:10:00
59.84565,54.821556,61.383026,0.31135547,0.2869353,136.47055,2023-05-26 18:10:00
59.84565,54.821556,61.383026,0.2991454,0.2869353,136.41937,2023-05-26 18:10:00
59.84565,54.847572,61.383026,0.2991454,0.2869353,136.36818,2023-05-26 18:10:00
59.84565,54.847572,61.383026,0.2869353,0.2869353,136.317,2023-05-26 18:10:00
59.84565,54.847572,61.383026,0.2869353,0.2869353,136.26582,2023-05-26 18:10:00
59.84565,54.847572,61.383026,0.31135547,0.26251513,136.24023,2023-05-26 18:11:00
59.84565,54.87357,61.383026,0.2991454,0.27472523,136.28981,2023-05-26 18:11:00
59.84565,54.87357,61.383026,0.2869353,0.2869353,136.26422,2023-05-26 18:11:00
59.84565,54.87357,61.383026,0.2869353,0.2869353,136.23865,2023-05-26 18:11:00
59.84565,54.87357,61.383026,0.2991454,0.2869353,136.21306,2023-05-26 18:11:00
59.84565,54.89959,61.383026,0.2991454,0.2869353,136.18747,2023-05-26 18:11:00
59.84565,54.89959,61.383026,0.31135547,0.2869353,136.1123,2023-05-26 18:12:00
59.84565,54.89959,61.383026,0.2991454,0.27472523,136.16188,2023-05-26 18:12:00
59.84565,54.925606,61.383026,0.2991454,0.2869353,136.16188,2023-05-26 18:12:00
59.84565,54.925606,61.383026,0.3113554700000001,0.27472523,136.16188,2023-05-26 18:12:00
59.84565,54.925606,61.383026,0.2869353,0.27472523,136.21149,2023-05-26 18:12:00
59.84565,54.951626,61.383026,0.2991454,0.29304038,136.21149,2023-05-26 18:12:00
59.84565,54.951626,61.383026,0.2991454,0.2869353,136.13632,2023-05-26 18:13:00
59.84565,54.951626,61.383026,0.2991454,0.26251513,136.21149,2023-05-26 18:13:00
59.84565,54.977623,61.383026,0.2869353,0.27472523,136.21149,2023-05-26 18:13:00
59.84565,54.977623,61.383026,0.2869353,0.27472523,136.23705,2023-05-26 18:13:00
59.84565,55.003643,61.383026,0.27472523,0.27472523,136.21149,2023-05-26 18:13:00
59.84565,55.003643,61.383026,0.2869353,0.2869353,136.28665,2023-05-26 18:13:00
59.84565,55.029663,61.383026,0.2869353,0.2869353,136.28665,2023-05-26 18:14:00
59.84565,55.029663,61.383026,0.2991454,0.2869353,136.28665,2023-05-26 18:14:00
59.84565,55.05566,61.383026,0.2869353,0.2869353,136.36182,2023-05-26 18:14:00
59.84565,55.05566,61.383026,0.2991454,0.2869353,136.28665,2023-05-26 18:14:00
59.84565,55.08168,61.383026,0.2991454,0.2869353,136.41298,2023-05-26 18:14:00
59.84565,55.08168,61.383026,0.2869353,0.2869353,136.43856999999997,2023-05-26 18:14:00
59.84565,55.1077,61.383026,0.2991454,0.27472523,136.48973,2023-05-26 18:15:00
59.84565,55.13372,61.383026,0.2991454,0.2869353,136.51534,2023-05-26 18:15:00
59.84565,55.13372,61.383026,0.31135547,0.2869353,136.6161,2023-05-26 18:15:00
59.84565,55.15972,61.383026,0.2869353,0.26251513,136.5921,2023-05-26 18:15:00
59.84565,55.18574,61.383026,0.2869353,0.27472523,136.69289,2023-05-26 18:15:00
59.84565,55.18574,61.383026,0.2991454,0.27472523,136.71849,2023-05-26 18:15:00
59.84564999999999,55.21176,61.383026,0.2991454,0.2869353,136.76968,2023-05-26 18:16:00
59.84565,55.21176,61.383026,0.2991454,0.26251513,136.82089,2023-05-26 18:16:00
59.84565,55.23778,61.383026,0.2991454,0.26251513,136.84648,2023-05-26 18:16:00
59.84565,55.23778,61.383026,0.31135547,0.26251513,136.8721,2023-05-26 18:16:00
59.84565,55.263783,61.383026,0.2869353,0.25030505999999997,136.8977,2023-05-26 18:16:00
59.81959,55.289803,61.383026,0.2869353,0.2503050600000001,136.9985,2023-05-26 18:16:00
59.81959,55.289803,61.383026,0.2991454,0.25030506,137.02411,2023-05-26 18:17:00
59.81959,55.289803,61.383026,0.2991454,0.26251513,137.04973,2023-05-26 18:17:00
59.81959,55.315823,61.383026,0.2869353,0.24419997999999998,137.15056,2023-05-26 18:17:00
59.81959,55.315823,61.383026,0.2869353,0.26251513,137.12494,2023-05-26 18:17:00
59.81959,55.315823,61.383026,0.2991454,0.25030506,137.12494,2023-05-26 18:17:00
59.81959,55.341824,61.383026,0.2991454,0.26251513,137.09932,2023-05-26 18:17:00
59.81959,55.341824,61.383026,0.2991454,0.25030506,137.14893,2023-05-26 18:18:00
